name,external_id
Asian fusion restaurant,asian_fusion_restaurant
Asian grocery store,asian_grocery_store
Asian household goods store,asian_household_goods_store
Asian restaurant,asian_restaurant
Asphalt contractor,asphalt_contractor
Asphalt mixing plant,asphalt_mixing_plant
Assamese restaurant,assamese_restaurant
Assemblies of God church,assemblies_of_god_church
Assistante maternelle,assistante_maternelle
Assisted living facility,assisted_living_facility
Association or organization,association_or_organization
Aston Martin dealer,aston_martin_dealer
Astrologer,astrologer
Asturian restaurant,asturian_restaurant
Athletic club,athletic_club
Athletic field,athletic_field
Athletic park,athletic_park
Athletic track,athletic_track
Attorney referral service,attorney_referral_service
Auction house,auction_house
Audi dealer,audi_dealer
Audio visual consultant,audio_visual_consultant
Audio visual equipment repair service,audio_visual_equipment_repair_service
Audio visual equipment supplier,audio_visual_equipment_supplier
Audiologist,audiologist
Audiovisual equipment rental service,audio_visual_equipment_rental_service
Auditor,auditor
Auditorium,auditorium
Australian goods store,australian_goods_store
Australian restaurant,australian_restaurant
Austrian restaurant,austrian_restaurant
Authentic Japanese restaurant,japanese_authentic_restaurant
Auto accessories wholesaler,auto_accessories_wholesaler
Auto air conditioning service,auto_air_conditioning_service
Auto auction,auto_auction
Auto body parts supplier,auto_body_parts_supplier
Auto body shop,auto_body_shop
Auto bodywork mechanic,auto_bodywork_mechanic
Auto broker,auto_broker
Auto chemistry shop,auto_chemistry_shop
Auto dent removal service,auto_dent_removal_service
Auto electrical service,auto_electrical_service
Auto glass repair service,auto_glass_repair_service
Auto glass shop,auto_glass_shop
Auto insurance agency,auto_insurance_agency
Auto machine shop,auto_machine_shop
Auto market,auto_market
Auto painting,auto_painting
Auto parts manufacturer,auto_parts_manufacturer
Auto parts market,auto_parts_market
Auto parts store,auto_parts_store
Auto radiator repair service,auto_radiator_repair_service
Auto repair shop,auto_repair_shop
Auto restoration service,auto_restoration_service
Auto rickshaw stand,auto_rickshaw_stand
Auto spring shop,auto_spring_shop
Auto sunroof shop,auto_sunroof_shop
