name,external_id,category_id
Air conditioning repair service,air_conditioning_repair_service,4d9cc8be-bc0e-4375-9806-8ed4d9bca0e6
Air conditioning store,air_conditioning_store,25c26ffc-5fed-46a7-9594-d4abad3657ce
Air conditioning system supplier,air_conditioning_system_supplier,04a58171-35bc-446d-b245-8fdbbc3e5565
Air duct cleaning service,air_duct_cleaning_service,a759cc64-f58d-45c2-bf44-9241793bcaa7
Air filter supplier,air_filter_supplier,f87a094e-31a4-47ff-8818-0c01dcc34d5f
Air force base,air_force_base,0dd39f77-aa32-4453-9ab1-a36719b8a49c
Air taxi,air_taxi,c2bceb89-2d78-40c9-a2d3-e901c70d1df0
Airbrushing service,airbrushing_service,83db1a26-44e2-4f5c-8404-3a0544ff5b19
Airbrushing supply store,airbrushing_supply_store,26b8da5c-5e4f-4e38-b232-c78883685509
Aircraft dealer,aircraft_dealer,3dcead2a-fe76-459c-9a78-4e07b86adfc6
Aircraft maintenance company,aircraft_maintenance_company,18a065da-d656-4c43-a7bb-7af2a610890b
Aircraft manufacturer,aircraft_manufacturer,6bd8034a-07e5-4d75-9938-9e6c8c813b37
Aircraft rental service,aircraft_rental_service,fc0bd799-82a1-4c12-aa5b-29644f768b4a
Aircraft supply store,aircraft_supply_store,cd12382e-75bd-41ef-8770-c1a9b6d2d69d
Airline,airline,07e37e44-a5f6-40e3-af1c-c68b8442de7d
Airline ticket agency,airline_ticket_agency,ca64d364-328f-4b90-84d3-8417cc7847c6
Airplane,airplane_exhibit,a9894287-299d-4feb-8c60-f11c67a1dde2
Airport,airport,e54d1c66-4f91-411e-98d0-7db7513363e0
Airport shuttle service,airport_shuttle_service,f09ad6cd-ef4c-4987-85af-8290118e58c0
Airsoft supply store,airsoft_gun_shop,52594603-3b29-44e0-abc9-0b3618bb7727
Airstrip,airstrip,b5368c7a-76d0-4bbf-ae3f-c4bc457dc4d9
Alcohol manufacturer,alcohol_manufacturer,0d5ac6bb-596e-4743-a92c-02e2c1ce85a7
Alcohol retail monopoly,alcohol_retail_monopoly,bd5d755a-348d-4648-b897-5cb51600481f
